K Agashe
S Anlage
T Antonsen
I Appelbaum
D Baden
J Banavar
M Barkeshli
P Bedaque
A Belloni
B Beise
A Buonanno
Z Chacko
T Cohen
S Das Sarma
B Dorland
J Drake
T Einstein
S Eno
V Galitski
J Gates
M Girvan
J Goodman
R Greene
N Hadley
C Hall
A Hassam
K Hoffman
B Hu
T Jacobson
C Jarzynski
H Jawahery
X Ji
K Kim
D Lathrop
C Lobb
W Losert
V Manucharyan
J McKinney
H Milchberg
R Mohapatra
C Monroe
L Orozco
E Ott
M Ouyang
J Paglione
D Papadopoulos
J Redish
D Roberts
S Rolston
R Roy
J Sau
E Seo
P Shawhan
A Skuja
P Sprangle
G Sullivan
R Sundrum
A Upadhyaya
F Wellstood
E Williams
J Williams
V Yakovenko
